# filters, transmission estimated from camera data (June 2021, Y. Kobayashi)
11 1.00000000
12 0.30000000
13 0.14000000
14 0.07300000
15 0.01800000
16 0.00300000
21 0.35000000
22 0.10500000
23 0.04900000
24 0.02555000
25 0.00630000
26 0.00105000
31 0.11000000
32 0.03300000
33 0.01540000
34 0.00803000
35 0.00198000
36 0.00033000
41 0.03000000
42 0.00900000
43 0.00420000
44 0.00219000
45 0.00054000
46 0.00009000
51 0.00300000
52 0.00090000
53 0.00042000
54 0.00021900
55 0.00005400
56 0.00000900
61 0.00050000
62 0.00015000
63 0.00007000
64 0.00003650
65 0.00000900
66 0.00000150
